time,battery_percentage
2023-06-28 10:49:13.492622,57
2023-06-28 10:49:14.493458,57
2023-06-28 10:49:15.494358,57
2023-06-28 10:49:16.495253,57
2023-06-28 10:49:17.495473,57
2023-06-28 10:49:18.495732,57
2023-06-28 10:49:19.496029,57
2023-06-28 10:49:20.496701,57
2023-06-28 10:49:21.502288,57
2023-06-28 10:49:22.503536,57
2023-06-28 10:49:23.503724,57
2023-06-28 10:49:24.505842,57
2023-06-28 10:49:25.506275,57
2023-06-28 10:49:26.508463,57
2023-06-28 10:49:27.509503,57
2023-06-28 10:49:28.510774,57
2023-06-28 10:49:29.511213,57
2023-06-28 10:49:30.511817,57
2023-06-28 10:49:31.512296,57
2023-06-28 10:49:32.515806,57
2023-06-28 10:49:33.516275,57
2023-06-28 10:49:34.516671,57
2023-06-28 10:49:35.517079,57
2023-06-28 10:49:36.517382,57
2023-06-28 10:49:37.520595,57
2023-06-28 10:49:38.522581,57
2023-06-28 10:49:39.523106,57
2023-06-28 10:49:40.523716,57
2023-06-28 10:49:41.524310,57
2023-06-28 10:49:42.526940,57
2023-06-28 10:49:43.528334,57
2023-06-28 10:49:44.531445,57
2023-06-28 10:49:45.531774,57
2023-06-28 10:49:46.534151,57
2023-06-28 10:49:47.535911,58
2023-06-28 10:49:48.536452,58
2023-06-28 10:49:49.537741,58
2023-06-28 10:49:50.538828,58
2023-06-28 10:49:51.539429,58
2023-06-28 10:49:52.540010,58
2023-06-28 10:49:53.541549,58
2023-06-28 10:49:54.543277,58
2023-06-28 10:49:55.546055,58
2023-06-28 10:49:56.546698,58
2023-06-28 10:49:57.547047,58
2023-06-28 10:49:58.551531,58
2023-06-28 10:49:59.552263,58
2023-06-28 10:50:00.552766,58
2023-06-28 10:50:01.553255,58
2023-06-28 10:50:02.553580,58
2023-06-28 10:50:03.554256,58
2023-06-28 10:50:04.554627,58
2023-06-28 10:50:05.555466,58
2023-06-28 10:50:06.561270,58
2023-06-28 10:50:07.563525,58
2023-06-28 10:50:08.564343,58
2023-06-28 10:50:09.565733,58
2023-06-28 10:50:10.566958,58
2023-06-28 10:50:11.567745,58
2023-06-28 10:50:12.569080,58
2023-06-28 10:50:13.569569,58
2023-06-28 10:50:14.569871,58
2023-06-28 10:50:15.570205,58
2023-06-28 10:50:16.570638,58
2023-06-28 10:50:17.571023,58
2023-06-28 10:50:18.571324,58
2023-06-28 10:50:19.571530,58
2023-06-28 10:50:20.573784,58
2023-06-28 10:50:21.574479,58
2023-06-28 10:50:22.574714,58
