time,battery_percentage
2023-06-27 02:32:47.074165,74
2023-06-27 02:32:48.074927,74
2023-06-27 02:32:49.075330,74
2023-06-27 02:32:50.075828,74
2023-06-27 02:32:51.076399,74
2023-06-27 02:32:52.076933,74
2023-06-27 02:32:53.083612,74
2023-06-27 02:32:54.084622,74
2023-06-27 02:32:55.085899,74
2023-06-27 02:32:56.087750,74
2023-06-27 02:32:57.088576,74
2023-06-27 02:32:58.089493,74
2023-06-27 02:32:59.090816,74
2023-06-27 02:33:00.091890,73
2023-06-27 02:33:01.092943,73
2023-06-27 02:33:02.093532,73
2023-06-27 02:33:03.094798,73
2023-06-27 02:33:04.105789,73
2023-06-27 02:33:05.106623,73
2023-06-27 02:33:06.107605,73
2023-06-27 02:33:07.115733,73
2023-06-27 02:33:08.124093,73
2023-06-27 02:33:09.124991,73
2023-06-27 02:33:10.147650,73
2023-06-27 02:33:11.154569,73
2023-06-27 02:33:12.154749,73
2023-06-27 02:33:13.155901,73
2023-06-27 02:33:14.163122,73
2023-06-27 02:33:15.164788,73
2023-06-27 02:33:16.165660,73
2023-06-27 02:33:17.166373,73
2023-06-27 02:33:18.170642,73
2023-06-27 02:33:19.176117,72
2023-06-27 02:33:20.177481,72
2023-06-27 02:33:21.180203,72
2023-06-27 02:33:22.183226,72
2023-06-27 02:33:23.183621,72
2023-06-27 02:33:24.184350,72
2023-06-27 02:33:25.184930,72
2023-06-27 02:33:26.186971,72
2023-06-27 02:33:27.187728,72
2023-06-27 02:33:28.188378,72
2023-06-27 02:33:29.191920,72
2023-06-27 02:33:30.193644,72
2023-06-27 02:33:31.195882,72
2023-06-27 02:33:32.201213,72
2023-06-27 02:33:33.201996,72
2023-06-27 02:33:34.202475,72
2023-06-27 02:33:35.207264,72
2023-06-27 02:33:36.209175,72
2023-06-27 02:33:37.210143,72
2023-06-27 02:33:38.210686,72
2023-06-27 02:33:39.213307,72
2023-06-27 02:33:40.215376,72
2023-06-27 02:33:41.217395,71
2023-06-27 02:33:42.218556,71
2023-06-27 02:33:43.220921,71
2023-06-27 02:33:44.221777,71
2023-06-27 02:33:45.222422,71
2023-06-27 02:33:46.225774,71
2023-06-27 02:33:47.233508,71
2023-06-27 02:33:48.235132,71
2023-06-27 02:33:49.237182,71
2023-06-27 02:33:50.238637,71
2023-06-27 02:33:51.239142,71
2023-06-27 02:33:52.240404,71
2023-06-27 02:33:53.241667,71
2023-06-27 02:33:54.243084,71
2023-06-27 02:33:55.244991,71
2023-06-27 02:33:56.246002,71
2023-06-27 02:33:57.247261,70
2023-06-27 02:33:58.250715,70
2023-06-27 02:33:59.251973,70
2023-06-27 02:34:00.253833,70
2023-06-27 02:34:01.257194,70
2023-06-27 02:34:02.260163,70
2023-06-27 02:34:03.264285,70
2023-06-27 02:34:04.264766,70
2023-06-27 02:34:05.266751,70
2023-06-27 02:34:06.267078,70
2023-06-27 02:34:07.267902,70
2023-06-27 02:34:08.268355,70
2023-06-27 02:34:09.269786,70
2023-06-27 02:34:10.272248,70
2023-06-27 02:34:11.277317,70
2023-06-27 02:34:12.279305,70
2023-06-27 02:34:13.279579,70
2023-06-27 02:34:14.288714,70
2023-06-27 02:34:15.290298,70
2023-06-27 02:34:16.295058,70
2023-06-27 02:34:17.296325,69
2023-06-27 02:34:18.297176,69
2023-06-27 02:34:19.301565,69
2023-06-27 02:34:20.302467,69
2023-06-27 02:34:21.303610,69
2023-06-27 02:34:22.306279,69
2023-06-27 02:34:23.306887,69
2023-06-27 02:34:24.308511,69
2023-06-27 02:34:25.310340,69
2023-06-27 02:34:26.313582,69
2023-06-27 02:34:27.314489,69
2023-06-27 02:34:28.317386,69
2023-06-27 02:34:29.318192,69
2023-06-27 02:34:30.319469,69
2023-06-27 02:34:31.321485,69
2023-06-27 02:34:32.323107,69
2023-06-27 02:34:33.325501,69
2023-06-27 02:34:34.325933,68
2023-06-27 02:34:35.328412,68
2023-06-27 02:34:36.329574,68
2023-06-27 02:34:37.330279,68
2023-06-27 02:34:38.330986,68
2023-06-27 02:34:39.363568,68
2023-06-27 02:34:40.365224,68
2023-06-27 02:34:41.366453,68
2023-06-27 02:34:42.369815,68
2023-06-27 02:34:43.370599,68
2023-06-27 02:34:44.373200,68
2023-06-27 02:34:45.374045,68
2023-06-27 02:34:46.375750,68
2023-06-27 02:34:47.376681,68
2023-06-27 02:34:48.378207,68
2023-06-27 02:34:49.379551,68
2023-06-27 02:34:50.384175,68
2023-06-27 02:34:51.386013,68
2023-06-27 02:34:52.386415,68
2023-06-27 02:34:53.387381,67
2023-06-27 02:34:54.391261,67
2023-06-27 02:34:55.392964,67
2023-06-27 02:34:56.396048,67
2023-06-27 02:34:57.419589,67
2023-06-27 02:34:58.424356,67
2023-06-27 02:34:59.426397,67
2023-06-27 02:35:00.426937,67
