timestamp
2023-06-19 15:14:10.682097
2023-06-19 15:14:10.689105
2023-06-19 15:14:10.694098
2023-06-19 15:14:10.699097
2023-06-19 15:14:10.709107
2023-06-19 15:14:10.725102
2023-06-19 15:14:10.740106
2023-06-19 15:14:10.756101
2023-06-19 15:14:10.771097
2023-06-19 15:14:10.787097
2023-06-19 15:14:10.794098
2023-06-19 15:14:10.801101
2023-06-19 15:14:10.816112
2023-06-19 15:14:10.834107
2023-06-19 15:14:10.840096
2023-06-19 15:14:10.847100
2023-06-19 15:14:10.864098
2023-06-19 15:14:10.879098
2023-06-19 15:14:10.896098
2023-06-19 15:14:10.911106
2023-06-19 15:14:10.916102
2023-06-19 15:14:10.920102
2023-06-19 15:14:10.941098
2023-06-19 15:14:10.955098
2023-06-19 15:14:10.972115
2023-06-19 15:14:10.978097
2023-06-19 15:14:10.985165
2023-06-19 15:14:11.001098
2023-06-19 15:14:11.009102
2023-06-19 15:14:11.049117
2023-06-19 15:14:11.078098
2023-06-19 15:14:11.091099
2023-06-19 15:14:11.095102
2023-06-19 15:14:11.101097
2023-06-19 15:14:11.109098
2023-06-19 15:14:11.125103
2023-06-19 15:14:11.134100
2023-06-19 15:14:11.143425
2023-06-19 15:14:11.154982
2023-06-19 15:14:11.171302
2023-06-19 15:14:11.176302
2023-06-19 15:14:11.186309
2023-06-19 15:14:11.201304
2023-06-19 15:14:11.218302
2023-06-19 15:14:11.225310
2023-06-19 15:14:11.232307
2023-06-19 15:14:11.247309
2023-06-19 15:14:11.264301
2023-06-19 15:14:11.279305
2023-06-19 15:14:11.294305
2023-06-19 15:14:11.310306
2023-06-19 15:14:11.325303
2023-06-19 15:14:11.332300
2023-06-19 15:14:11.341305
2023-06-19 15:14:11.357300
2023-06-19 15:14:11.372306
2023-06-19 15:14:11.386302
2023-06-19 15:14:11.404303
2023-06-19 15:14:11.418303
2023-06-19 15:14:11.423303
2023-06-19 15:14:11.428311
2023-06-19 15:14:11.448305
2023-06-19 15:14:11.464300
2023-06-19 15:14:11.480305
2023-06-19 15:14:11.495299
2023-06-19 15:14:11.510317
2023-06-19 15:14:11.525299
2023-06-19 15:14:11.541317
2023-06-19 15:14:11.557300
2023-06-19 15:14:11.572301
2023-06-19 15:14:11.587299
